,angle,county,distance,quadrant,radius,store,tract
1096,71.0536826793973,113,8.134163483546974,1,10,5,012601
1097,350.0913614808506,113,8.323178588695107,4,10,5,013626
1098,353.794376965951,085,9.54405582454158,4,10,6,031718
1099,190.5386441061639,113,2.359976333673385,3,3,6,001001
1100,157.94301177373575,113,3.87472840152856,2,5,6,001203
1101,208.05690430842535,113,4.927987852293488,3,5,6,001900
1102,168.01768984111027,113,6.701431999967145,2,10,6,003901
1103,211.02946151627873,113,9.205810598658937,3,10,6,005200
1104,336.40765493888017,113,1.3565031607050508,4,3,6,007801
1105,5.823336734483917,113,1.5896819433075917,1,3,6,007822
1106,180.34490919688426,113,9.498793059221876,3,10,6,008604
1107,149.24778191015508,113,8.788080685060388,2,10,6,009104
1108,321.82489294387545,113,5.50583377224317,4,10,6,009603
1109,225.02716237424008,113,6.543778251264759,3,10,6,010101
1110,98.38784162693833,113,6.538064409478789,2,10,6,012603
1111,354.25669834644134,113,2.6199094483200285,4,3,6,013105
1112,337.18020489561786,113,5.8499252172096,4,10,6,013615
1113,302.42699137702556,113,8.065954772552203,4,10,6,014001
1114,79.42856576748159,113,9.81880536327792,1,10,6,018110
1115,90.11628503963396,113,9.469298756961232,2,10,6,018128
1116,68.58349163283066,113,8.939719338202657,1,10,6,018204
1117,49.08791945372809,113,7.289913522908515,1,10,6,019014
1118,48.197597979284296,113,6.027552982649599,1,10,6,019033
1119,10.935581985346289,113,6.414358262188897,1,10,6,019202
1120,277.2549048694823,113,1.7686244462808411,4,3,6,019501
1121,107.06545654406062,113,8.951798230243403,2,10,6,017812
1122,62.46330371810842,113,9.70405536754641,1,10,6,018105
1123,90.95208724400555,113,7.537686070669739,2,10,6,018127
1124,76.03468650327966,113,8.509679104105965,1,10,6,018206
1125,41.7869693185263,113,4.818549437156176,1,5,6,018505
1126,40.615690657451296,113,6.495471196787415,1,10,6,019004
1127,30.874411022320828,113,8.934120640295848,1,10,6,019037
1128,178.2626341319226,113,5.568325972946398,2,10,6,020300
1129,226.24188026798447,113,4.126088552333718,3,5,6,000405
1130,187.67894680002004,113,2.734552395628631,3,3,6,001002
1131,188.9637849652,113,4.550801869451048,3,5,6,002200
1132,173.51603526263818,113,6.759896421314615,2,10,6,003800
1133,213.96952367626108,113,7.867901356350933,3,10,6,004400
1134,197.67551649846152,113,9.242751114057848,3,10,6,005400
1135,202.4269300866292,113,9.776295493946654,3,10,6,006200
1136,275.0319846516165,113,5.593534082161516,4,10,6,007202
1137,309.02504942125,113,1.961157763729128,4,3,6,007700
1138,37.58120999262246,113,0.9372886150596278,1,1,6,007819
1139,5.963701718772825,113,2.616686732917391,1,3,6,007823
1140,313.40439915198056,113,6.156095052861582,4,10,6,009608
1141,280.9250382840386,113,5.969021917680756,4,10,6,009804
1142,69.50576488831899,113,3.9802451613646235,1,5,6,013005
1143,341.2904464498529,113,2.3710181908066463,4,3,6,013102
1144,323.1979627762417,113,4.086393519296879,4,5,6,013400
1145,349.96629378217074,113,8.919101346091292,4,10,6,013617
1146,343.12580648139095,113,7.672410484713882,4,10,6,013621
1147,311.57197815735276,113,9.134972965607531,4,10,6,013711
1148,319.8444516327037,113,7.399316982795785,4,10,6,013805
1149,325.9412269297957,113,2.715232382988896,4,3,6,007604
1150,76.72720708487503,113,4.486907109289358,1,5,6,013007
1151,112.69254364483845,113,9.451720387349386,2,10,6,017813
1152,73.5694797541405,113,7.630005775081601,1,10,6,018300
1153,25.400063986439136,113,5.659459022340605,1,10,6,019041
1154,33.65990050562215,113,8.148665975514325,1,10,6,019023
1155,348.04871445747756,085,9.727966328290103,4,10,6,031708
1156,193.3817451689837,113,1.7499946696841266,3,3,6,000300
1157,198.62779283768103,113,4.720667568876537,3,5,6,001701
1158,316.6219322158491,113,9.053762040311492,4,10,6,013715
1159,142.1468103412834,113,7.361272616892028,2,10,6,008500
1160,104.9135533289508,113,7.943242142202524,2,10,6,018002
1161,143.18190108390968,113,5.845770524274394,2,10,6,012206
1162,196.2109787915466,113,3.3775429846074743,3,5,6,000800
1163,255.56224465522354,113,2.899892676963481,3,3,6,007101
1164,334.0892372778745,113,6.791228633738114,4,10,6,013625
1165,255.1287643238805,113,9.661018471576384,3,10,6,014703
1166,7.608139201917481,113,8.330725978117885,1,10,6,019206
1167,23.172471773760094,113,8.763871031429806,1,10,6,019038
1168,111.46177579857641,113,8.05375053144501,2,10,6,017807
1169,53.884872456867924,113,6.8117235661650755,1,10,6,019013
1170,339.6501834472253,113,6.9900521204670705,4,10,6,013622
1171,178.8187945421064,113,7.512232570110395,2,10,6,004000
1172,311.9948317416696,113,3.365821203587143,4,5,6,007605
1173,293.3067355412395,113,5.905719996013533,4,10,6,009702
1174,69.30333950784404,113,2.96361949537234,1,3,6,013004
1175,100.30127065085082,113,9.597499491916508,2,10,6,017808
1176,111.17120312760562,113,7.129885812516081,2,10,6,017900
1177,87.70162978848441,113,8.108642134132266,1,10,6,018126
1178,81.11262171215708,113,7.560781432123333,1,10,6,018402
1179,37.139008042038085,113,4.471872498704762,1,5,6,018503
1180,57.72635712279725,113,9.065828094960219,1,10,6,018801
1181,34.51205244966968,113,5.913127530565983,1,10,6,019018
